target_id	length	eff_length	est_counts	tpm
SSTP_0000045200.1	615	447.685	728	16.0849
SSTP_0000045300.1	387	221.366	243	10.8581
SSTP_0000045400.1	2022	1854.63	1976	10.5387
SSTP_0000045500.1	2424	2256.63	2417	10.5944
SSTP_0000045600.1	411	244.891	538	21.7304
SSTP_0000045700.1	3414	3246.63	2916	8.8841
SSTP_0000045800.1	1587	1419.63	2417	16.8407
SSTP_0000045900.1	255	98.7165	4748	475.751
SSTP_0000046000.1	1353	1185.63	872	7.27489
SSTP_0000046100.1	261	103.955	345	32.8271
SSTP_0000046200.1	1677	1509.63	646	4.23273
SSTP_0000046300.1	1740	1572.63	1099	6.91242
SSTP_0000046400.1	2955	2787.63	3475	12.3304
SSTP_0000046500.1	2346	2178.63	2026	9.19846
SSTP_0000046600.1	1020	852.63	37.6242	0.436481
SSTP_0000046700.1	714	546.66	65	1.17613
SSTP_0000046800.1	1386	1218.63	1162	9.43177
SSTP_0000046900.1	813	645.63	90	1.37885
SSTP_0000047000.1	1266	1098.63	361	3.25024
SSTP_0000047100.1	1197	1029.63	38	0.365058
SSTP_0000047200.1	1557	1389.63	4729	33.6612
SSTP_0000047300.1	3267	3099.63	1728	5.51433
SSTP_0000047400.1	2586	2418.63	4870.3	19.918
SSTP_0000047500.1	612	444.707	3495	77.7378
SSTP_0000047600.1	2391	2223.63	3129	13.9188
SSTP_0000047700.1	1194	1026.63	4038	38.9055
SSTP_0000047800.1	678	510.66	418	8.09662
SSTP_0000047900.1	1377	1209.63	2056	16.8124
SSTP_0000048000.1	2829	2661.63	8657.7	32.1746
SSTP_0000048100.1	852	684.63	773	11.1682
SSTP_0000048200.1	3255	3087.63	2077	6.65381
SSTP_0000048300.1	1248	1080.63	852	7.79869
SSTP_0000048400.1	864	696.63	7	0.0993928
SSTP_0000048500.1	654	486.685	3	0.0609723
SSTP_0000048600.1	3804	3636.63	309	0.840462
SSTP_0000048700.1	984	816.63	17	0.205912
SSTP_0000048800.1	1740	1572.63	2558	16.0891
SSTP_0000048900.1	1011	843.63	240	2.81396
SSTP_0000049000.1	2202	2034.63	74	0.359754
SSTP_0000049100.1	696	528.66	2938	54.9711
SSTP_0000049200.1	1779	1611.63	3514	21.5673
SSTP_0000049300.1	918	750.63	359	4.73072
SSTP_0000049400.1	804	636.63	427	6.63437
SSTP_0000049500.1	1122	954.63	603	6.248
SSTP_0000049600.1	1056	888.63	1175	13.079
SSTP_0000049650.1	438	271.505	471	17.1594
SSTP_0000049700.1	3330	3162.63	653	2.04232
SSTP_0000049800.1	1596	1428.63	555	3.84266
SSTP_0000049900.1	657	489.685	976	19.7148
SSTP_0000050000.1	1941	1773.63	2486	13.8643
SSTP_0000050100.1	213	64.4263	356	54.657
SSTP_0000050200.1	3009	2841.63	10429	36.3023
SSTP_0000050300.1	642	474.685	7024	146.365
SSTP_0000050400.1	918	750.63	74	0.975135
SSTP_0000050500.1	837	669.63	5267	77.8014
SSTP_0000050600.1	399	233.095	1076	45.6603
SSTP_0000050700.1	1845	1677.63	2826	16.6623
SSTP_0000050800.1	594	426.794	4379	101.488
SSTP_0000050900.1	507	339.96	132	3.84065
SSTP_0000051000.1	1830	1662.63	344	2.04655
SSTP_0000051100.1	1494	1326.63	2842	21.1901
SSTP_0000051200.1	570	402.794	29921	734.771
