target_id	length	eff_length	est_counts	tpm
SSTP_0000015100.1	231	79.7775	89	14.0373
SSTP_0000015200.1	1047	878.158	96	1.37554
SSTP_0000015300.1	222	72.8346	99.9222	17.2623
SSTP_0000015400.1	666	497.264	855	21.6348
SSTP_0000015500.1	333	169.165	202	15.0251
SSTP_0000015600.1	1419	1250.16	39665.4	399.229
SSTP_0000015700.1	1329	1160.16	1158	12.5593
SSTP_0000015800.1	1134	965.158	5461	71.1948
SSTP_0000015900.1	3387	3218.16	13380	52.3146
SSTP_0000016000.1	1893	1724.16	17645	128.771
SSTP_0000016100.1	1968	1799.16	2098	14.6727
SSTP_0000016200.1	1296	1127.16	25	0.27908
SSTP_0000016300.1	219	70.5686	4	0.713219
SSTP_0000016400.1	204	59.3844	0	0
SSTP_0000016500.1	486	317.894	0	0
SSTP_0000016600.1	486	317.894	2	0.079163
SSTP_0000016650.1	183	44.917	6	1.68079
SSTP_0000016700.1	333	169.165	0	0
SSTP_0000016800.1	213	65.9932	0	0
SSTP_0000016900.1	453	285.253	0	0
SSTP_0000016950.1	174	39.3074	0	0
SSTP_0000017100.1	801	632.234	7894	157.106
SSTP_0000017200.1	552	383.395	95	3.11782
SSTP_0000017300.1	318	155.141	20	1.6221
SSTP_0000017400.1	489	320.894	29	1.13713
SSTP_0000017500.1	456	288.167	16	0.698634
SSTP_0000017600.1	2787	2618.16	3417	16.4219
SSTP_0000017700.1	5133	4964.16	3512	8.90191
SSTP_0000017800.1	1242	1073.16	2871	33.6623
SSTP_0000017900.1	702	533.264	13	0.306744
SSTP_0000018000.1	870	701.234	36	0.645972
SSTP_0000018100.1	906	737.198	528	9.01206
SSTP_0000018200.1	2679	2510.16	4850	24.3117
SSTP_0000018300.1	312	149.641	473	39.7726
SSTP_0000018400.1	1782	1613.16	5199	40.5525
SSTP_0000018500.1	1359	1190.16	21005.7	222.078
SSTP_0000018600.1	1620	1451.16	161	1.396
SSTP_0000018700.1	4320	4151.16	1864	5.65003
SSTP_0000018800.1	1269	1100.16	1484	16.9728
SSTP_0000018900.1	921	752.198	5381	90.0129
SSTP_0000019000.1	375	209.05	78	4.69482
SSTP_0000019100.1	996	827.158	1091	16.5963
SSTP_0000019200.1	204	59.3844	44.3988	9.40747
SSTP_0000019300.1	1243	1074.16	26.0334	0.304956
SSTP_0000019400.1	82	22.979	51	27.9263
SSTP_0000019500.1	456	288.167	19	0.829628
SSTP_0000019600.1	1257	1088.16	39	0.450969
SSTP_0000019700.1	1709	1540.16	12.4228	0.101491
SSTP_0000019800.1	864	695.234	409	7.4023
SSTP_0000019900.1	831	662.234	26	0.49401
SSTP_0000020000.1	756	587.264	1	0.021426
SSTP_0000020100.1	1206	1037.16	751	9.11107
SSTP_0000020200.1	693	524.264	2	0.0480014
SSTP_0000020300.1	453	285.253	69	3.04364
SSTP_0000020400.1	2577	2408.16	4016	20.9837
SSTP_0000020500.1	1353	1184.16	4339	46.1057
SSTP_0000020600.1	1395	1226.16	26058	267.405
SSTP_0000020700.1	483	314.925	169	6.75233
SSTP_0000020800.1	2802	2633.16	778	3.71772
SSTP_0000020900.1	2088	1919.16	5660.64	37.1132
SSTP_0000021000.1	2457	2288.16	3950	21.7213
SSTP_0000021100.1	543	374.432	616	20.7005
SSTP_0000021200.1	234	82.1519	2	0.306328
SSTP_0000021300.1	669	500.264	1382	34.7603
SSTP_0000021400.1	351	186.035	1065	72.0328
SSTP_0000021500.1	1749	1580.16	383	3.04981
SSTP_0000021700.1	627	458.312	3176	87.1954
SSTP_0000021800.1	2553	2384.16	8180	43.171
SSTP_0000021900.1	1131	962.158	176	2.30166
SSTP_0000022000.1	552	383.395	8216	269.643
SSTP_0000022100.1	606	437.334	1400	40.2799
SSTP_0000022200.1	3036	2867.16	13993	61.4092
SSTP_0000022300.1	3360	3191.16	12145	47.8876
SSTP_0000022400.1	987	818.158	342	5.25973
SSTP_0000022500.1	1188	1019.16	34402	424.733
SSTP_0000022600.1	1329	1160.16	12	0.130148
SSTP_0000022700.1	534	365.525	108	3.71776
SSTP_0000022750.1	105	12.7939	0	0
SSTP_0000022800.1	489	320.894	21	0.823441
SSTP_0000022900.1	3795	3626.16	1151	3.99395
SSTP_0000023000.1	2838	2669.16	16635	78.4193
SSTP_0000023100.1	4818	4649.16	7981	21.6002
SSTP_0000023200.1	750	581.264	967	20.9328
SSTP_0000023300.1	987	818.158	9232	141.982
SSTP_0000023400.1	2019	1850.16	2859	19.4437
SSTP_0000023500.1	2067	1898.16	2872	19.0382
SSTP_0000023600.1	885	716.234	820	14.4057
SSTP_0000023700.1	891	722.198	0	0
SSTP_0000023800.1	993	824.158	67	1.02291
SSTP_0000023900.1	1050	881.158	169	2.41328
SSTP_0000024000.1	813	644.234	452	8.82813
SSTP_0000024100.1	1827	1658.16	6	0.0455302
SSTP_0000024200.1	4518	4349.16	3589	10.3835
SSTP_0000024300.1	1113	944.158	152	2.02569
SSTP_0000024400.1	777	608.234	399	8.25423
SSTP_0000024500.1	558	389.375	1711	55.2912
SSTP_0000024600.1	1233	1064.16	6313	74.6456
SSTP_0000024700.1	324	160.696	899	70.393
SSTP_0000024800.1	948	779.198	2050	33.104
SSTP_0000024900.1	279	120.075	3967	415.705
SSTP_0000025000.1	252	96.7814	263	34.1931
SSTP_0000025100.1	624	455.312	48	1.3265
SSTP_0000025200.1	849	680.234	19	0.351455
SSTP_0000025300.1	816	647.234	573	11.1395
SSTP_0000025400.1	1485	1316.16	2334	22.3135
SSTP_0000025500.1	1722	1553.16	1439	11.6579
SSTP_0000025600.1	3468	3299.16	460.496	1.75629
SSTP_0000025700.1	870	701.234	1291	23.1653
SSTP_0000025800.1	4347	4178.16	13577	40.8877
SSTP_0000025900.1	1590	1421.16	202	1.78848
SSTP_0000026000.1	453	285.253	150	6.6166
SSTP_0000026100.1	5187	5018.16	8932	22.3964
SSTP_0000026200.1	390	223.475	249	14.0199
SSTP_0000026300.1	1269	1100.16	1553	17.762
SSTP_0000026400.1	1860	1691.16	691	5.14124
SSTP_0000026500.1	3183	3014.16	2231	9.31339
SSTP_0000026600.1	549	380.395	1681	55.6042
SSTP_0000026700.1	3471	3302.16	47.0927	0.179444
SSTP_0000026800.1	1287	1118.16	167	1.87926
SSTP_0000026900.1	1047	878.158	922	13.2109
SSTP_0000027000.1	2301	2132.16	2831	16.7069
SSTP_0000027100.1	1866	1697.16	2988	22.153
SSTP_0000027200.1	1617	1448.16	814	7.07266
SSTP_0000027300.1	372	206.165	13943	850.972
SSTP_0000027400.1	885	716.234	6917	121.517
SSTP_0000027500.1	2352	2183.16	3662	21.1061
SSTP_0000027600.1	3912	3743.16	6760	22.7239
SSTP_0000027700.1	645	476.312	535	14.1331
SSTP_0000027800.1	2274	2105.16	3340	19.9635
SSTP_0000027900.1	2451	2282.16	3613	19.9203
SSTP_0000028000.1	4629	4460.16	26905	75.9026
SSTP_0000028100.1	420	252.709	461	22.9537
SSTP_0000028200.1	564	395.375	116328	3702.11
SSTP_0000028300.1	1332	1163.16	7	0.075724
SSTP_0000028400.1	1527	1358.16	5003	46.3505
SSTP_0000028500.1	1332	1163.16	4243	45.8996
SSTP_0000028600.1	873	704.234	775	13.8471
SSTP_0000028700.1	414	246.885	13	0.662557
SSTP_0000028800.1	537	368.506	40	1.36581
SSTP_0000028900.1	990	821.158	2650	40.6063
SSTP_0000029000.1	1239	1070.16	5007	58.8713
SSTP_0000029100.1	1950	1781.16	2497	17.6397
SSTP_0000029200.1	1050	881.158	35	0.499791
SSTP_0000029300.1	1479	1310.16	5743	55.1556
SSTP_0000029400.1	2124	1955.16	167	1.07475
SSTP_0000029500.1	699	530.264	362	8.58995
SSTP_0000029600.1	3162	2993.16	1942	8.16383
SSTP_0000029700.1	570	401.375	964	30.2204
SSTP_0000029800.1	819	650.234	318	6.15363
SSTP_0000029900.1	1122	953.158	1086	14.3364
SSTP_0000030000.1	645	476.312	685	18.0956
SSTP_0000030100.1	732	563.264	773	17.268
SSTP_0000030200.1	432	264.528	6582	313.084
SSTP_0000030300.1	1509	1340.16	790	7.41729
SSTP_0000030400.1	651	482.288	827	21.5761
SSTP_0000030500.1	3387	3218.16	1790	6.99874
SSTP_0000030600.1	4410	4241.16	3166	9.39292
SSTP_0000030700.1	321	157.932	2	0.159343
SSTP_0000030800.1	393	226.396	10	0.555783
SSTP_0000030900.1	1062	893.158	10	0.140879
SSTP_0000031000.1	240	86.8928	0	0
SSTP_0000031100.1	285	125.321	0	0
SSTP_0000031200.1	1701	1532.16	24	0.197098
SSTP_0000031300.1	819	650.234	1490	28.8331
SSTP_0000031400.1	621	452.312	3121	86.822
SSTP_0000031500.1	2079	1910.16	111	0.731186
SSTP_0000031600.1	53	20.25	18	11.1846
SSTP_0000031625.1	381	214.762	8.21326	0.481208
SSTP_0000031700.1	147	24.2064	0	0
SSTP_0000031800.1	1608	1439.16	1935	16.9179
SSTP_0000031900.1	20529	20360.2	56031	34.6275
SSTP_0000032000.1	3906	3737.16	698	2.35011
SSTP_0000032100.1	1305	1136.16	1	0.0110748
SSTP_0000032200.1	3048	2879.16	483	2.11084
SSTP_0000032300.1	423	255.658	0	0
SSTP_0000032400.1	314	151.455	0	0
SSTP_0000032500.1	1067	898.158	379.172	5.312
SSTP_0000032600.1	1479	1310.16	5322	51.1123
SSTP_0000032700.1	645	476.312	129	3.40779
SSTP_0000032800.1	558	389.375	655	21.1664
SSTP_0000032900.1	648	479.288	447	11.7351
SSTP_0000033000.1	1581	1412.16	604	5.3818
SSTP_0000033100.1	363	197.511	4726	301.076
SSTP_0000033200.1	1290	1121.16	521	5.84716
SSTP_0000033300.1	876	707.234	87	1.54785
SSTP_0000033400.1	441	273.407	39622	1823.48
SSTP_0000033500.1	495	326.78	20191	777.457
SSTP_0000033600.1	867	698.234	1640	29.554
SSTP_0000033700.1	1965	1796.16	697	4.88273
SSTP_0000033800.1	675	506.264	999	24.8292
SSTP_0000033900.1	906	737.198	3450	58.8856
SSTP_0000034100.1	5658	5489.16	69	0.158168
SSTP_0000034200.1	270	112.106	0	0
SSTP_0000034300.1	1128	959.158	232	3.04349
SSTP_0000034400.1	3018	2849.16	13	0.0574118
SSTP_0000034500.1	1392	1223.16	773	7.95191
SSTP_0000034600.1	1764	1595.16	648	5.11147
SSTP_0000034700.1	7104	6935.16	27048	49.0742
SSTP_0000034800.1	1242	1073.16	4021	47.146
SSTP_0000034850.1	441	273.407	230	10.5851
SSTP_0000034900.1	495	326.78	38	1.4632
SSTP_0000035000.1	1503	1334.16	1195	11.2703
SSTP_0000035100.1	1602	1433.16	5524	48.4991
SSTP_0000035150.1	111	13.3696	0	0
SSTP_0000035200.1	693	524.264	309	7.41622
SSTP_0000035300.1	2688	2519.16	164	0.819149
SSTP_0000035400.1	1164	995.158	586	7.40935
SSTP_0000035500.1	1149	980.158	412	5.28902
SSTP_0000035600.1	936	767.198	289	4.73985
SSTP_0000035700.1	1746	1577.16	710	5.66445
SSTP_0000035800.1	1272	1103.16	959	10.9384
SSTP_0000035900.1	990	821.158	263	4.02998
SSTP_0000036000.1	1515	1346.16	266	2.48634
SSTP_0000036100.1	122	14.714	0	0
SSTP_0000036200.1	83	22.7616	11.4005	6.30226
SSTP_0000036300.1	309	146.909	6.99717	0.599306
SSTP_0000036400.1	6915	6746.16	10500	19.5843
SSTP_0000036500.1	2022	1853.16	1042	7.07505
SSTP_0000036600.1	1293	1124.16	1002	11.2154
SSTP_0000036700.1	495	326.78	308	11.8596
SSTP_0000036800.1	1767	1598.16	4297	33.8314
SSTP_0000036900.1	1575	1406.16	1728	15.4626
SSTP_0000037000.1	2256	2087.16	11113	66.9962
SSTP_0000037100.1	1017	848.158	714	10.5924
SSTP_0000037200.1	354	188.892	0	0
SSTP_0000037300.1	354	188.892	0	0
SSTP_0000037400.1	1032	863.158	11	0.160353
SSTP_0000037500.1	1242	1073.16	1917	22.4767
SSTP_0000037600.1	2499	2330.16	4644	25.0773
SSTP_0000037700.1	3366	3197.16	1304	5.13201
SSTP_0000037800.1	3372	3203.16	9962	39.1329
SSTP_0000037900.1	1326	1157.16	1057	11.4936
SSTP_0000038000.1	1089	920.158	2544	34.788
SSTP_0000038100.1	615	446.334	135	3.80581
SSTP_0000038200.1	1080	911.158	44	0.607622
SSTP_0000038300.1	1581	1412.16	1102	9.81912
SSTP_0000038400.1	1338	1169.16	4172	44.8999
SSTP_0000038500.1	1143	974.158	818	10.5657
SSTP_0000038600.1	435	267.474	9931	467.181
SSTP_0000038700.1	1113	944.158	7648	101.924
SSTP_0000038800.1	456	288.167	517	22.5746
SSTP_0000038900.1	1563	1394.16	7531	67.9696
SSTP_0000039000.1	1026	857.158	1134	16.6466
SSTP_0000039100.1	753	584.264	459	9.88503
SSTP_0000039200.1	387	220.554	51	2.90958
SSTP_0000039300.1	834	665.234	269	5.08806
SSTP_0000039400.1	402	235.164	622	33.2808
SSTP_0000039500.1	4836	4667.16	9127	24.6065
SSTP_0000039600.1	1230	1061.16	7537	89.3702
SSTP_0000039700.1	984	815.158	4366	67.3932
SSTP_0000039800.1	2889	2720.16	25507	117.988
SSTP_0000039900.1	636	467.312	23	0.619292
SSTP_0000040000.1	1269	1100.16	101232	1157.81
SSTP_0000040100.1	309	146.909	509	43.5957
SSTP_0000040200.1	1875	1706.16	9078	66.9492
SSTP_0000040300.1	273	114.714	2	0.219375
SSTP_0000040400.1	786	617.234	718	14.6369
SSTP_0000040500.1	606	437.334	313	9.00544
SSTP_0000040600.1	1386	1217.16	1498	15.486
SSTP_0000040650.1	213	65.9932	0	0
SSTP_0000040700.1	13119	12950.2	5401	5.24775
SSTP_0000040800.1	1812	1643.16	586	4.48738
SSTP_0000040900.1	1062	893.158	3	0.0422637
SSTP_0000041000.1	411	243.983	3860	199.068
SSTP_0000041100.1	1635	1466.16	2151	18.4601
SSTP_0000041200.1	1152	983.158	619	7.92212
SSTP_0000041300.1	3246	3077.16	275	1.12449
SSTP_0000041400.1	1482	1313.16	5678	54.4067
SSTP_0000041500.1	936	767.198	143	2.34532
SSTP_0000041600.1	1797	1628.16	3494	27.0023
SSTP_0000041700.1	1953	1784.16	581	4.09748
SSTP_0000041800.1	1311	1142.16	856	9.43022
SSTP_0000041900.1	1980	1811.16	418	2.90398
SSTP_0000042000.1	1317	1148.16	174	1.90687
SSTP_0000042100.1	672	503.264	7854	196.367
SSTP_0000042200.1	399	232.234	338	18.3132
SSTP_0000042300.1	4356	4187.16	9782	29.3956
SSTP_0000042400.1	2208	2039.16	8153	50.3084
SSTP_0000042500.1	1728	1559.16	2476	19.9818
SSTP_0000042600.1	1743	1574.16	302	2.41398
SSTP_0000042700.1	330	166.37	69087	5225.11
SSTP_0000042800.1	2619	2450.16	2834	14.5539
SSTP_0000042900.1	693	524.264	783	18.7926
SSTP_0000043000.1	951	782.198	24	0.386072
SSTP_0000043100.1	1128	959.158	534	7.00528
SSTP_0000043200.1	942	773.198	1	0.0162736
SSTP_0000043300.1	1179	1010.16	9	0.112106
SSTP_0000043400.1	2136	1967.16	14967	95.7348
SSTP_0000043500.1	1272	1103.16	7	0.0798426
SSTP_0000043600.1	1137	968.158	1169	15.193
SSTP_0000043700.1	1323	1154.16	539	5.87622
SSTP_0000043800.1	2253	2084.16	1081	6.52633
SSTP_0000043900.1	642	473.312	131	3.48256
SSTP_0000044000.1	1242	1073.16	618	7.24601
SSTP_0000044100.1	942	773.198	200602	3264.51
SSTP_0000044200.1	1965	1796.16	8568	60.0218
SSTP_0000044300.1	1491	1322.16	1696	16.1405
SSTP_0000044400.1	1422	1253.16	309	3.10261
SSTP_0000044500.1	1566	1397.16	1353	12.185
SSTP_0000044600.1	13179	13010.2	2004	1.93816
SSTP_0000044700.1	15402	15233.2	10087	8.33194
SSTP_0000044800.1	672	503.264	916	22.902
SSTP_0000044900.1	567	398.375	221	6.9803
SSTP_0000045000.1	537	368.506	27	0.921919
SSTP_0000045100.1	876	707.234	3625	64.494
SSTP_0000045200.1	615	446.334	858	24.1881
SSTP_0000045300.1	387	220.554	145	8.27234
SSTP_0000045400.1	2022	1853.16	3324	22.5695
SSTP_0000045500.1	2424	2255.16	1976	11.0251
SSTP_0000045600.1	411	243.983	13	0.670436
SSTP_0000045700.1	3414	3245.16	4284	16.6107
SSTP_0000045800.1	1587	1418.16	160	1.41961
SSTP_0000045900.1	255	99.2749	7379	935.26
SSTP_0000046000.1	1353	1184.16	1148	12.1985
SSTP_0000046100.1	261	104.429	317	38.1954
SSTP_0000046200.1	1677	1508.16	443	3.69599
SSTP_0000046300.1	1740	1571.16	2635	21.1026
SSTP_0000046400.1	2955	2786.16	6112.74	27.6061
SSTP_0000046500.1	2346	2177.16	10288	59.4587
SSTP_0000046600.1	1020	851.158	171.272	2.53192
SSTP_0000046700.1	714	545.264	268	6.18447
SSTP_0000046800.1	1386	1217.16	839	8.6734
SSTP_0000046900.1	813	644.234	166	3.24219
SSTP_0000047000.1	1266	1097.16	980	11.2391
SSTP_0000047100.1	1197	1028.16	1448	17.7208
SSTP_0000047200.1	1557	1388.16	248	2.24795
SSTP_0000047300.1	3267	3098.16	1688	6.85556
SSTP_0000047400.1	2586	2417.16	8053.88	41.9251
SSTP_0000047500.1	612	443.334	1525	43.2825
SSTP_0000047600.1	2391	2222.16	4302	24.3596
SSTP_0000047700.1	1194	1025.16	5461	67.0279
SSTP_0000047800.1	678	509.264	13	0.321199
SSTP_0000047900.1	1377	1208.16	2670	27.8075
SSTP_0000048000.1	2829	2660.16	8719.12	41.242
